City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
195,Maldonado,UY,-34.6667,-54.9167,74.59,52,14,8.25,few clouds
196,Ambilobe,MG,-13.2,49.05,73.36,93,14,3.04,few clouds
197,Launceston,AU,-41.45,147.1667,43.16,87,75,5.75,broken clouds
198,Nanortalik,GL,60.1432,-45.2371,37.27,89,100,2.19,overcast clouds
199,Yar-Sale,RU,66.8333,70.8333,35.51,100,100,10.69,overcast clouds
200,Hofn,IS,64.2539,-15.2082,46.4,97,100,9.26,moderate rain
201,Puerto Leguizamo,CO,-0.1934,-74.7819,80.06,74,94,2.28,moderate rain
202,Shuyskoye,RU,59.3736,41.0305,43.72,96,100,6.44,light rain
203,Axim,GH,4.8699,-2.2405,81.12,81,100,9.01,overcast clouds
204,Zhanaozen,KZ,43.3,52.8,57.6,83,60,15.26,broken clouds
205,Hobyo,SO,5.3505,48.5268,83.39,82,100,18.16,overcast clouds
206,Bredasdorp,ZA,-34.5322,20.0403,55.24,87,98,1.95,overcast clouds
207,Gelemso,ET,8.8167,40.5167,67.5,40,10,5.06,clear sky
208,Chikwawa,MW,-16.0335,34.8009,72.23,71,16,1.95,few clouds
209,Severo-Kurilsk,RU,50.6789,156.125,38.55,95,100,20.18,moderate rain
210,Cayenne,GF,4.9333,-52.3333,86.04,16,75,16.11,broken clouds
211,Steamboat Springs,US,40.485,-106.8317,64.94,48,75,10.36,broken clouds
212,Taphan Hin,TH,16.2209,100.4198,79.63,84,99,2.42,light rain
213,Tanabe,JP,33.7333,135.3667,58.93,68,61,4.05,broken clouds
214,Dossor,KZ,47.5272,52.9811,60.21,57,99,15.43,overcast clouds
215,Dudinka,RU,69.4058,86.1778,4.32,95,63,9.55,broken clouds
216,Coquimbo,CL,-29.9533,-71.3436,62.33,67,100,5.75,overcast clouds
217,Anadyr,RU,64.75,177.4833,33.01,90,98,15.01,overcast clouds
218,Kizema,RU,61.113,44.8302,48.15,96,100,1.45,light rain
219,Gornopravdinsk,RU,60.05,69.9,44.29,89,95,5.17,overcast clouds
220,Kaitangata,NZ,-46.2817,169.8464,50.34,94,54,3.09,broken clouds
221,Monrovia,LR,6.3005,-10.7969,78.28,87,100,7.34,overcast clouds
222,Puerto Ayora,EC,-0.7393,-90.3518,80.56,78,11,11.81,few clouds
